keys	modid
замена дверей на металлические	12/347595
демонтаж дверных коробок	12/347595
установка металлических дверных блоко	12/347595
двери стальные утепленные	12/347595
замена дверей	12/347595
дверь	12/347595
дверь входная	12/347595
замена входных дверей	12/347595
дверь металлическая входная	12/347595
дверь металлическая со стеклянным экраном	12/347595
дверь металлическая	12/347595
дверь металлическая	12/347595
межкомнатная дверь	12/347595
изготовление и монтаж дверей в школе	12/347595
замок врезной	12/347595
установка межкомнатной двери	12/347595
приобретение железной двери	12/347595
поставка межкомнатных дверей	12/347595
монтаж противопожарной двери	12/347595
дверь с установкой	12/347595
замена, изготовление и установка входной двери	12/347595
установка двери пластиковой в дверной проем	12/347595
приобретение и установка противопожарных дверей	12/347595
противопожарные двери	12/347595
изготовление и установка двери	12/347595
установка противопожарной двери	12/347595
дверь межкомнатная пластиковая	12/347595
изготовление и установка железной двери	12/347595
замок навесной	12/347595
металлическая дверь	12/347595
приобретение и установка дверей	12/347595
тамбурная, межкомнатная дверь	12/347595
установка панелей ПВХ с пластиковой дверью	12/347595
монтаж и установка двери	12/347595
поставка и монтаж входных металлических дверей	12/347595
изготовление и монтаж входных дверей	12/347595
замок в дверь	12/347595
двери и окна	12/347595
замена дверей	12/347595
установка железной двери	12/347595
замена двери	12/347595
дверь межкомнатная	12/347595
врезной замок	12/347595
изготовление и установка дверей	12/347595
монтаж и демонтаж дверей	12/347595
дверь ПВХ	12/347595
замена входной двери	12/347595
рентгенозащитная дверь	12/347595
дверь из ПВХ	12/347595
межкомнатные двери	12/347595
монтаж и демонтаж дверных блоков	12/347595
замок и проушина	12/347595
пленка полиэтиленовая рукав	12/347516
известь на побелку деревьев	12/347516
пиломатериал	12/347516
резьба стальная, баченок стальной	12/347516
щебень	12/347516
подводка для сместителя	12/347516
стройматералы	12/347516
провод электрический, розетки, выключатель, гайки	12/347516
лента малярная	12/347516
деталь ЛДСП и фальшпанель для шкафа	12/347516
плитка керамическая, клей плиточный, саморезы, гипс, штукатурка	12/347516
арматура к сливному бочку, выключатели с розеткой	12/347516
эмаль, валик малярный, кисть малярная, перчатки, раствора анти-плесень	12/347516
плинтуса и саморезы	12/347516
резиновое рулонное покрытие	12/347516
лист из нержавеющей стали, труба профильная	12/347516
хомута	12/347516
плитка тактильная	12/347516
напольное резиновое покрытие	12/347516
штапики деревянные	12/347516
сетка абразивная шлифовальная	12/347516
стройматериалы	12/347516
крестики для укладки плитки	12/347516
ОБС и краска	12/347516
плинтус	12/347516
известь	12/347516
плитка керамическая	12/347516
растворитель	12/347516
доставка строительных материалов	12/347516
отопительные батареи	12/347516
грунт	12/347516
болты, шурупы и гвозди	12/347516
радиатор	12/347516
оргстекло, саморезы, фанера	12/347516
профильная труба	12/347516
фанера для учебных целей	12/347516
термоизоляционная армированная лента	12/347516
цемент	12/347516
уголки и металлическая сетка	12/347516
муфта, сгон, саморезы	12/347516
керамическая плитка	12/347516
проволока сварочная	12/347516
краска	12/347516
строительные материалы	12/347516
строительный материал	12/347516
саморез	12/347516
арматура	12/347516
доска для ремонта лавочек	12/347516
доски	12/347516
металлопрокат	12/347516
манжеты	12/347516
муфта	12/347516
патрубок	12/347516
известь	12/347516
водоэмульсионка	12/347516
шпатлевка	12/347516
клей плиточный	12/347516
эмаль	12/347516
крепление для унитаза	12/347516
металлические трубы	12/347516
монтажная пена	12/347516
порожек алюминиевый	12/347516
ЖБИ кольца	12/347516
обои	12/347516
изолента	12/347516
биметрический радиатор	12/347516
комплект для радиатора	12/347516
гофра, колено с отводом	12/347516
редукция	12/347516
рукав напорно-всасывающий	12/347516
головка муфтовая	12/347516
сетка всасывающая кольцо уплотнительное	12/347516
бетон	12/347516
кабель	12/347516
провод	12/347516
очиститель монтажной пены	12/347516
стальные радиаторы и кран шаровы	12/347516
морилка неводная	12/347516
саморез, дюбеля, буры, сверло, брусок	12/347516
сверло по кафелю	12/347516
клапан обратный, прокладка, штуцер	12/347516
изосиб	12/347516
доска обрезная	12/347516
провода, автоматы, светильники, прожектора, розетки, саморезы, лампы, изолента	12/347516
спинки для стульев	12/347516
шлифт шкурки	12/347516
фум лента	12/347516
эмаль, растворитель	12/347516
сетка для ограждения	12/347516
козырек над лавкой	12/347516
воодотлив	12/347516
плата для котла	12/347516
краска, грунтовка, кисти,саморезы,гвозди, штукатурка	12/347516
пескобетон	12/347516
плита печи, колосник и дверца печи	12/347516
профлист, пленка, шайба,дюбель,утеплитель ,дверь	12/347516
пиломатериал и гвозди	12/347516
песок	12/347516
бордюр	12/347516
герметик бесцветный и пена монтажная	12/347516
силиконовая смазка	12/347516
бит для шуропаверта	12/347516
подвесной потолок,	12/347516
труба и фитинг	12/347516
ремкомплект	12/347516
скотч малярный	12/347516
ручка на пластиковое окно	12/347516
труба, фланец, зонт вентиляционный,шпингалет оконный ,кельма	12/347516
пена монтажная, бикрост	12/347516
плинтус и саморезы	12/347516
установка теплосчетчика	12/347478
электросчетчики	12/347478
газовый счетчик	12/347478
счетчик воды	12/347478
установка счетчика хвс в колодце	12/347478
приобретение водосчетчика взамен вышедшего из строя	12/347478
счетчик холодной воды комбинированный	12/347478
замена блока питания в теплосчетчике	12/347478
приобретение и монтаж приборов учета ГВС ХВС	12/347478
установка общедомового прибора учета тепловой энергии	12/347478
приобретение счетчика хол воды	12/347478
установку узла учета газ	12/347478
установка бытового счетчика газа после ремонта	12/347478
монтаж узла учета электроэнергии	12/347478
приобретение водосчетчиков	12/347478
проектирование и монтажу узла учета сточных вод	12/347478
установка приборов учета водоснабжения	12/347478
установка и поставка тепловычислителя	12/347478
установка узла учета тепловой энергии	12/347478
установка водомера	12/347478
счетчики горячей воды	12/347478
счетчик электромагнитный	12/347478
замена электрического счетчика	12/347478
приборы учета холодной и горячей воды	12/347478
счетчики воды	12/347478
поверка тепловычислителя, снятие/установка тепловычислителя	12/347478
установка счетчика теплового узла	12/347478
замена счетчиков на воду	12/347478
установка узла учета тепловой энергии	12/347478
замена теплосчетчика в здании.	12/347478
монтаж узла учета тепловой энергии в здании	12/347478
счетчик для теплоузла с комплектующими	12/347478
счетчик для воды	12/347478
установка теплосчетчиков	12/347478
поверка счетчика	12/347478
замена счетчика с выносом щита учета	12/347478
водяной счетчик	12/347478
замена элемента питания на приборе узла учёта тепловой энергии	12/347478
теплосчетчик	12/347478
замена жесткого диска и камеры системы видеонаблюдения	12/430615
система видеоконференцсвязь	12/430615
контроллер системы контроля и управления доступом	12/430615
установка приточно-вытяжной вентиляции	12/430615
монтаж элементов оборудования охранных сигнализаций	12/430615
система контроля загазованности	12/430615
коробка монтажная для камеры	12/430615
установка системы отопления	12/430615
монтаж системы видеонаблюдения	12/430615
установки систем пожаротушения и видеонаблюдения	12/430615
установка охранно - пожарной сигнализации	12/430615
охранно-пожарной сигнализации	12/430615
монтаж и установка пропускного турникета	12/430615
монтаж экстренного оповещения	12/430615
установка видеокамеры	12/430615
монтаж видеонаблюдения	12/430615
монтаж системы пожарной сигнализации	12/430615
охранная сигнализация	12/430615
монтаж системы контроля управления доступом	12/430615
монтаж речевого оповещения	12/430615
замена камеры видеонаблюдения	12/430615
система оповещения и управления экавуацией	12/430615
монтаж системы охранной сигнализации	12/430615
монтаж кнопки тревожной сигнализации	12/430615
монтаж аварийной сигнализации	12/430615
система вентиляции	12/430615
установка сигнализации	12/430615
монтаж наружной видеосистемы	12/430615
монтаж аварийного освещения	12/430615
установка автономной системы экстренного оповещения	12/430615
демонтаж и монтаж видеокамеры	12/430615
видеокамера для ремонта системы видеонаблюдения	12/430615
прибор для оповещения в пожарной сигнализации	12/430615
установка системы видеонаблюдения	12/430615
система видеонаблюдения, охранная, пожарная сигнализация	12/430615
система видеонаблюдения	12/430615
установка охраны	12/430615
установка вентиляции	12/430615
система оповещения населения	12/430615
монтаж сетевого оборудования	12/430615
устройство системы оповещения	12/430615
монтаж пожарной сигнализации	12/430615
монтаж и пуско-наладка тревожной сигнализации	12/430615
замена пожарной сигнализации и системы речевого оповещения	12/430615
система видеонаблюдения, пожаротушения	12/430615
прибор приемно-контрольный	12/430615
монтаж оборудования для дооснащения системы видеонаблюдения	12/430615
дооборудование системы пожарной сигнализации	12/430615
видеорегистратор для системы видеонаблюдения	12/430615
замена системы контроля и управления доступом	12/430615
монтаж и настройка видеонаблюдения	12/430615
замена видеокамер	12/430615
установка тревожной сигнализации	12/430615
замена систему видеонаблюдения	12/430615
монтаж вентиляции	12/430615
монтаж локальной сети	12/430615
сетевое оборудование для видеонаблюдения	12/430615
установка речевого оповещателя	12/430615
дооборудование системы видеонаблюдения	12/430615
измерение сопротивления изоляции электропроводки	12/430615
оконечное оборудование	12/430615
установка автоматического освещения	12/430615
установка охранной сигнализации	12/430615
замена датчика по пожарной безопасности	12/430615
установка аварийного освещения противопожарной безопасности	12/430615
монтаж охранно-тревожной сигнализации	12/430615
монтаж системы наблюдения	12/430615
замена охранно пожарной сигнализации	12/430615
приобретение и монтаж охранной сигнализации	12/430615
установка вентиляционной системы	12/430615
установка светового и звукового сигнала о возникновении пожара	12/430615
установка голосового оповещения	12/430615
установка систем вентиляции	12/430615
запчасти в оборудовании	86/279552
компьютер	86/279552
монитор	86/279552
системный блок	86/279552
системный блок и монитор	86/279552
монитор, блок, клавиатура, мышь	86/279552
монитор, клавиатура, процессор	86/279552
системный блок, монитор, мышь и клавиатура	86/279552
накопитель. блок питания	86/279552
клавиатура, мышь	86/279552
блок питания	86/279552
компьютерные колонки	86/279552
сетевая карта на сервер	86/279552
сервер	86/279552
аккумулятор для компьютера	86/279552
автоматизированное рабочее место	86/279552
процессор из комплектующих	86/279552
монитор или системный блок	86/279552
моноблок	86/279552
замена системного блока компьютера	86/279552
обслуживание медицинского оборудования	12/347479
монтаж сплит системы	12/347479
монтаж тепломеханического оборудования	12/347479
монтаж приточно- вытяжной вентиляции	12/347479
поставка и установка кондиционера	12/347479
приобретение и монтаж видеокамеры	12/347479
установка кондиционера	12/347479
монтаж оборудования	12/347479
демонтаж, монтаж оборудования	12/347479
установка кондиционеров	12/347479
установка видеопроектора	12/347479
монтаж кондиционеров	12/347479
монтаж системы пожарного мониторинга	12/347479
поставка, монтаж оборудования, и материалы для установки	12/347479
монтаж кондиционера	12/347479
приобретение и монтаж штор	12/347479
установка мемориального знака на памятнике	12/347479
покупка и монтаж кондиционера	12/347479
монтаж по прокладке оптоволоконной линии связи и установке камер видеонаблюдения	12/347479
перенос приборов пожарной сигнализации в другое место	12/347479
покупка новых кондиционеров отдельно от монтажа	12/347479
монтаж тепловой завесы	12/347479
монтаж конструкций	12/347479
монтаж наружных сетей кислородоснабжения	12/347479
покупка оборудования с монтажем	12/347479
изготовление и установка рольставен	12/347479
установка стеновых протекторов	12/347479
монтаж вентиляциии	12/347479
монтаж, сборка кондиционеров	12/347479
перенос мониторов системы видеонаблюдения на другое место	12/347479
монтаж оборудование	12/347479
расходники	12/347479
покупка кондиционера	12/347479
демонтаж настенной сплит системы	12/347479
замена насоса	12/347479
люк колодца и кольцо колодца	12/347479
установка пропускного режима	12/347479
монтаж конструкций ПВХ	12/347479
монтаж канальных сплит-систем	12/347479
вентиляционное оборудование	12/347479
установка сплит-системы	12/347479
монтаж мачты метеорологической	12/347479
монтаж сварной решетки на окно	12/347479
приобретение и монтаж сплит- системы	12/347479
установка биометрических термоментров	12/347479
поставка и монтаж сплит систем	12/347479
монтаж	12/347479
установка микрофонов	12/347479
монтаж и установка кондиционера	12/347479
установка вентиляционной трубы	12/347479
установка системы регулирования температуры горячего водоснабжения	12/347479
демонтаж сплит системы	12/347479
покупка основного средства без монтажа	12/347479
демонтаж и переустановка велопарковки	12/347479
монтаж шкафа с подстветкой	12/347479
изготовление и монтаж навеса	12/347479
расширение системы видеонаблюдения	12/347479
подъемник для инвалидов и установка по разным договорам	12/347479
монтаж СКУД	12/347479
сплит система (кондиционер) и монтаж по разным договорам	12/347479
кондиционеры с установкой	12/347479
установка электрокотла	12/347479
демонтаж, транспортировка и монтаж оборудования	12/347479
кондиционер с установкой по разным договорам	12/347479
сопутствующие работы при покупке технологического оборудования	12/347479
поставка и установка арочного металлодетектора и турникета	12/347479
оборудование для видеконференцсвязи	12/347479
установка АПС	12/347479
газификация котельной	12/347479
монтаж рентгеновского аппарата	12/347479
поставка и монтаж вентиляции	12/347479
основное средство с установкой по одному договору	12/347479
установка отремонтированной пожарной сигнализации	12/347479
монтаж опор	12/347479
установка рольставень	12/347479
монтаж оборудования системы оповещения	12/347479
установка уличных форм	12/347479
подключение электроплиты	12/347479
установка подвесных микрофонов	12/347479
покупка, монтаж и демонтаж хоккейных бортов	12/347479
материалы и монтаж	12/347479
поставка и монтаж кондиционера	12/347479
монтаж интерактивного оборудования	12/347479
монтаж вывески	12/347479
поставка, монтаж дизельного генератора	12/347479
монтаж и демонтаж кондиционеров	12/347479
обслуживание и монтаж систем видеонаблюдени	12/347479
узел учета тепловой энергии	12/347479
камера видеонаблюдения	12/347479
покупка сплитсистемы, установка и демонтаж	12/347479
прием и утилизация биоотходов	12/347542
утилизация транспортного средства	12/347542
вывоз, обезвреживание и утилизация отходов	12/347542
прием, транспортировка, утилизация, обезвреживание отходов	12/347542
вывоз и утилизация имущества	12/347542
утилизация отходов масел	12/347542
вывоз пищевых отходов	12/347542
утилизация холодильника	12/347542
транспортировка крупногабаритного мусора, отходов	12/347542
сбор, транспортировка, временное хранение отходов	12/347542
вывоз и утилизацию отходов	12/347542
сбор, транспортировка, размещение и утилизация отходов	12/347542
вывоз и утилизация техники	12/347542
размещение (захоронение) прочих отходов	12/347542
транспортировка отходов к месту размещения	12/347542
утилизация отходов	12/347542
утилизация имущества	12/347542
вывоз и обезвреживание отходов упаковочных материалов	12/347542
утилизация компьютерной техники	12/347542
вывоз и утилизация автотраспорта	12/347542
вывоз спиленных деревьев	12/347542
утилизация основных средств	12/347542
утилизация медицинских отходов	12/347542
вывоз автошин	12/347542
утилизация оборудования	12/347542
сбор, транспортировка, утилизация и захоронение отходов	12/347542
утилизация автопогрузчика	12/347542
вывоз и утилизация отходов бумаги и картона	12/347542
утилизация автошин	12/347542
утилизация системного блока	12/347542
утилизация автомобиля и шин	12/347542
утилизация легковых шин	12/347542
транспортировка и утилизация медицинских отходов	12/347542
утилизация компьтерной техники	12/347542
сбор	12/347542
обработка	12/347542
транспортировка	12/347542
утилизация	12/347542
обезвреживание оборудования	12/347542
сбору	12/347542
транспортировка	12/347542
обезвреживание и утилизация медотходов	12/347542
утилизация	12/347542
обтирочного материала	12/347542
боя бетонных изделий	12/347542
обезвреживание тормозных колодок	12/347542
утилизация инструмента и оборудования	12/347542
утилизация ламп и градусников	12/347542
утилизация оргтехники,мебели, бытовой техники	12/347542
сбор,транспортировка,утилизация ОС	12/347542
транспортировка отходов	12/347542
утилизация огнетушителя	12/347542
утилизация телефона	12/347542
утилизация компьютерной техники, катриджей	12/347542
утилизация списанного оборудования	12/347542
утилизация энергосберегающих ламп	12/347542
утилизация списанных технических средств	12/347542
утилизация люминесцентных ламп	12/347542
утилизация мониторов и принтеров	12/347542
утилизация ноутбука	12/347542
транспортировка отходов мебели деревянной	12/347542
сбор, транспортировка и обезвреживание ртутьсодержащих ламп	12/347542
прием и уничтожение мед. отходов	12/347542
утилизация автомобиля	12/347542
утилизация светильников со светодиодными элементами	12/347542
текущий ремонт	86/196012
ремонт и облуживание сплит-систем	86/196012
замена в автоэвакуаторе запчастей	86/196012
замена водосточной системы	86/196012
капитальный ремонт здания	86/196012
ремонт крыш квартиры муниципальных и не муниципальных	86/196012
ремонт лестничного марша в спорткомплексе	86/196012
ремонт кондиционера автомобиля	86/196012
ремонт забора	86/196012
капитальный ремонт мостового перехода через реку	86/196012
капитальный ремонт крыши	86/196012
капитальный ремонт	86/196012
ремонт системного блока	86/196012
замена процессора	86/196012
отделочные работы санузла	86/196012
ремонт пожарной сигнализации	86/196012
переоборудование помещения	86/196012
ремонт в здании аэропорта	86/196012
текущий ремонт противопожарного водопровода	86/196012
текущий ремонт сливной ямы в здании	86/196012
текущий ремонт помещения,	86/196012
ремонт расширительного бака в котельной	86/196012
ремонт автотранспортного средства	86/196012
обустройство санузла	86/196012
ремонт холодильника	86/196012
ремонт туалета	86/196012
запчасти для ремонта оргтехники	86/196012
капитальный ремонт кровли	86/196012
ремонт бензопилы	86/196012
капремонт и техническое обследование сооружения	86/196012
ремонт потолка	86/196012
ремонт автомобиля и запчасти	86/196012
ремонт МФУ	86/196012
капитальный ремонт моста через реку	86/196012
ремонт в подвальном помещени	86/196012
замена оборудования в системе охранно-пожарной сигнализации	86/196012
таблички на двери	12/347466
таблички с названием остановочных комплексов	12/347466
вывески и таблички пластиковые	12/347466
информационная табличка пвх	12/347466
вывеска с названием организации	12/347466
таблички на здание и таблички на кабинеты	12/347466
табличка на двери	12/347466
вывеска на фап	12/347466
изготовление таблички	12/347466
вывеска	12/347466
таблички навигации	12/347466
изготовление световой вывески и эскизов	12/347466
вывеска брайля	12/347466
изготовление, монтаж вывески организации	12/347466
фасадные вывески	12/347466
вывеска уличная	12/347466
закупка информационной таблички	12/347466
изготовление вывесок	12/347466
мнемосхема	12/347466
монтаж табличек,навигации	12/347466
изготовление таблички с информационной надписью	12/347466
вывески на помещение	12/347466
изготовление табличек с разработкой макетов	12/347466
вывеска с логотипами с подстветкой	12/347466
адресный указатель	12/347466
приобретение табличек	12/347466
табличка алюминиевая	12/347466
адресная табличка	12/347466
изготовления табличек	12/347466
изготовление информационных табличек	12/347466
хомуты и смеситель	12/347520
душевые кабины	12/347520
сантехнические материалы	12/347520
сантехника	12/347520
унитаз с бочком	12/347520
краны и канализационные трубы,муфты	12/347520
сантехнические работы	12/347520
замена смесителей	12/347520
смеситель для кухни	12/347520
покупка сантехнических труб на замену старых	12/347520
унитаз	12/347520
смеситеь	12/347520
бачок для унитаза	12/347520
кран и бочонок	12/347520
установка раковин и смесителей	12/347520
кран шаровый	12/347520
ванна моечная для пищеблока	12/347520
ванны моечные	12/347520
арматура для сливного бочка	12/347520
подводка гибкая для смесителя	12/347520
сифон для раковины	12/347520
сифон для раковины	12/347520
труба с раструбом	12/347520
тройник	12/347520
отвод	12/347520
мойка металическая хирургическая	12/347520
душевая система с тропическим душем	12/347520
кран, смеситель	12/347520
мойка, кран, смесители	12/347520
ванна моечная	12/347520
душевая кабина	12/347520
кран сантехнический	12/347520
комплект унитаза	12/347520
лейка для душа, простые лампочки	12/347520
коврик резиновый и смеситель	12/347520
смесители	12/347520
инсталляция для туалета	12/347520
раковина керамическая	12/347520
ванна оцинкованная для строительных работ	12/347520
аварийно-диспетчерское обеспечение сети газопотребления	86/527411
обслуживание системы контроля доступа к объектам	86/527411
настройка коммутаторов и маршрутиризаторов на сервере	86/527411
техническое обслуживание атс	86/527411
услуги специалистом, ответственным за эксплуатацию лифта	86/527411
техническое обследование помещения для ремонта	86/527411
уборка и вывоз снега	86/527411
мойка арендованного авто	86/527411
замена зонта вытяжного	86/527411
замена светильников	86/527411
обезжиривание медицинской кислородной системы	86/527411
работы за полусухую стяжку	86/527411
аварийно-техническое обслуживание нежилого помещени	86/527411
переосвидетельствование огнетушителей и замену пломб	86/527411
экспертиза технического освидетельствования	86/527411
техническое обслуживание и ремонт системы охранного видеонаблюдения	86/527411
огнезащитная обработка деревянных конструкций кровли	86/527411
восстановление памятника	86/527411
поверка трансформатора	86/527411
оплата за капитальный ремонт помещения	86/527411
замена светильников потолочных	86/527411
дератизация и дезинфекция помещений	86/527411
сварочные работы	86/527411
замена и чистка ковровых покрытий	86/527411
уборка помещений	86/527411
химчистка мебели	86/527411
мойка автомобиля	86/527411
диагностика швейной машины	86/527411
техническое сопровождение ИТ инфраструктуры	86/527411
организационно-технические мероприятия	86/527411
испытание кирпичной кладки здания	86/527411
исполнительный сбор	86/287439
оплата за неисполнение квотирования рабочих мест	86/287439
исполнительский сбор	86/287439
пени по налогу на имущество	86/287439
штраф	86/287439
штраф за административное нарушение правил парковки	86/287439
административный штраф правонарушений по протоколу Роспотребнадзора	86/287439
административный штраф по решению суда	86/287439
исполнительский сбор за несвоевременную оплату штрафов	86/287439
пени штрафы	86/287439
задолженность судебным приставам по исполнительному сбору	86/287439
штраф за неисполнение обязательств по договору омс	86/287439
штраф ГИБДД за нарушение правил дорожного движения	86/287439
административный штраф за несвоевременное уведомление работодателем о приеме на работу сотрудника	86/287439
административный штраф по постановлению городского суда	86/287439
административный штраф от фас	86/287439
штраф за непредставление сведений отчетности	86/287439
штраф от ГИБДД	86/287439
штраф по налогам	86/287439
штрафные санкции	86/287439
штраф гибдд	86/287439
штраф за несвоевременную сдачу сзв-м	86/287439
штраф за неисполнение показателей по муниц. программе	86/287439
штраф при сдаче в отчетности в налоговую	86/287439
пени	86/287439
исполнительный сбор по исполнительному производству	86/287439
штраф за несвоевременное предоставление расчета по страховым взносам.	86/287439
пени за несвоевременную оплату НДФЛ	86/287439
пени по НДС	86/287439
пени за несвоевременную оплату по контракту	86/287439
исполн сбор	86/287439
штраф за неправомерное несообщение сведений налоговому органу	86/287439
пени по УСН	86/287439
штраф за несвоевременную сдачу декларации по УСН	86/287439
подготовка актов обследования недвижимости	12/400048
определение качества огнезащитной обработки	12/400048
обследование помещения	12/400048
диагностика снегоуборщика	12/400048
экспертиза промышленной безопасности технических устройств	12/400048
техническая экспертиза объектов имущества	12/400048
техническое заключение о состоянии здания	12/400048
техническая экспертиза состояния имущества	12/400048
диагностика системы вентиляции	12/400048
экспертиза промышленной безопасности котельной	12/400048
техническая экспертиза для тс	12/400048
экспертиза качества выполненных работ	12/400048
техническое заключение о невозможности использования компьютера	12/400048
диагностика оборудования	12/400048
обследование и экспертиза компьютерных систем	12/400048
технический контроль вычислительной техники	12/400048
выезд инженера для диагностики неисправности МФУ	12/400048
экспертиза оценки имущества	12/400048
обследование объекта	12/400048
обследование конструкций здания для сноса	12/400048
техническое освидетельствование оборудования	12/400048
определение степени износа нежилого здания,сооружения	12/400048
экспертиза транспортного средства	12/400048
тех экспетиза для подтверждения неисправности ос	12/400048
техническое заключение эксперта	12/400048
экспертиза оргтехники	12/400048
обследование объекта для оценки уровня доступности объекта для инвалидов	12/400048
техническое освидетельствование аттракционов	12/400048
диагностика триммера	12/400048
экспертное заключение на компьютерную технику	12/400048
заключение непригодного для использования компьютера	12/400048
лабораторные исследования дорожно-строительных материалов	12/400048
диагностикаобъектов основных средств и их утилизация	12/400048
услуга по дефектации	12/400048
проверка качества огнезащитной обработки	12/400048
диагностика автомобиля	12/400048
выходное пособие при сокращении штата	12/313588
выходное пособие при сокращении, средний заработок	12/313588
увольнение сотрудника по сокращению	12/313588
выходное пособие при сокращении	12/313588
увольнение по соглашению сторон	12/313588
пособие при увольнении при уходе в армию	12/313588
выходное пособие при увольнении	12/313588
выходное пособие при увольнении по причине отказа от перевода на другую работу	12/313588
выходное пособие за первый месяц при сокращении	12/313588
выходное пособие по соглашению сторон	12/313588
выходное пособие и компенсацияпри досрочном увольнении	12/313588
пособие за первый и последующие месяцы	12/313588
средний месячный заработок за второй месяц со дня увольнения	12/313588
выходное пособиепри сокращении	12/313588
выходное пособие при увольнени	12/313588
выходное пособие при увольнении по медицинским показаниям	12/313588
выходное пособие при сокращении должности	12/313588
выплаты при увольнении по соглашению сторон	12/313588
выплаты бывшим сотрудникам	12/313588
выплаты при увольнении сотрудника	12/313588
выходное пособие при увольнении с связи с призывом в армию	12/313588
выходное пособие на время трудоустройства	12/313588
выплаты положены бывшему главе	12/313588
выходное пособие, не связанное с реорганизацией	12/313588
выходное пособие при мобилизации	12/313588
компенсация работников при увольнении	12/313588
компенсационные выплаты главы поселения при прекращении полномочий	12/313588
единовременная денежная компенсация при увольнении	12/313588
выходное пособие в размере двухнедельного среднего заработка	12/313588
пожарная сигнализация	12/347527
монтаж системы оповещения	12/347527
замена пожарной сигнализации	12/347527
монтаж тревожной кнопки	12/347527
пожарая сигнализация	12/347527
монтаж и пуско-наладочные работы системы централизованного оповещения	12/347527
установка системы автоматического контроля загазованности	12/347527
установка кнопки тревожной сигнализации	12/347527
пожарная безопасность	12/347527
установка автоматической пожарной сигнализации	12/347527
оснащение системы пожарной сигнализации	12/347527
монтаж датчиков системы оповещения пожаротушения	12/347527
монтаж тревожной сигнализации	12/347527
дооборудование пожарной сигнализации	12/347527
